rank,tier,title,year,authors,venue,doi,url,cited_by_count,category,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,source,abstract,concepts
385,landscape,Multimodal Navigation-Affordance Matching for SLAM,2021,Johan Terblanche; Sam Claassens; Dehann Fourie,IEEE Robotics and Automation Letters,10.1109/lra.2021.3098788,https://doi.org/10.1109/lra.2021.3098788,9,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,semantic categories can be mapped to robot-specific capabilities without recalibration,distribution of counterfeit or unusual objects,novel object whose visible geometry is misleading,makes generic affordance prediction and action-effect learning non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
386,landscape,"Learning task-specific models for dexterous, in-hand manipulation with simple, adaptive robot hands",2016,Minas V. Liarokapis; Aaron M. Dollar,2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros.2016.7759394,https://doi.org/10.1109/iros.2016.7759394,20,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,the mapping from words to object instances,diagnostic action changes the object state or consumes scarce resources,makes skill-conditioned manipulation policies non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
387,landscape,Robot Manipulation Learning Using Generative Adversarial Imitation Learning,2021,Mohamed Khalil Jabri,Proceedings of the Thirtieth International Joint Conference on Artificial Intelligence,10.24963/ijcai.2021/678,https://doi.org/10.24963/ijcai.2021/678,5,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,material parameters,same-named object with opposite affordance,makes skill-conditioned manipulation policies non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,"Imitation learning allows learning complex behaviors given demonstrations. Early approaches belonging to either Behavior Cloning or Inverse Reinforcement Learning were however of limited scalability to complex environments. A more promising approach termed as Generative Adversarial Imitation Learning tackles the imitation learning problem by drawing a connection with Generative Adversarial Networks. In this work, we advocate the use of this class of methods and investigate possible extensions by endowing them with global temporal consistency, in particular through a contrastive learning based approach.",
388,landscape,Mind and Common Sense,1991,,,10.1017/cbo9780511551659,https://doi.org/10.1017/cbo9780511551659,72,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,symbolic or graph-based knowledge representation,a static dataset contains the relevant rare counterexamples,material parameters,task demand outside the training range,makes symbolic commonsense facts and knowledge-base affordances non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,"The contributors to this volume examine recent controversies about the importance of common sense psychology for our understanding of the human mind. Common sense provides a familiar and friendly psychological scheme by which to talk about the mind. Its categories (belief, desire, intention, consciousness, emotion, and so on) tend to portray the mind as quite different from the rest of nature, and thus irreducible to physical matters and its laws. In this volume a variety of positions on common sense psychology from critical to supportive, from exegetical to speculative, are represented. Among the questions posed are: Is common sense psychology an empirical theory, a body of analytic knowledge, a practice or a strategy? If it is a legitimate enterprise can it be naturalized or not? If it is not legitimate can it be eliminated? Is its fate tied to our understanding of consciousness? Should we approach its concepts and generalizations from the standpoint of conceptual analysis or from the philosophy of science?",
389,landscape,Timed-Elastic Bands for Manipulation Motion Planning,2019,Bence Magyar; Nikolaos Tsiogkas; Jeremie Deray; Sammy Pfeiffer; David Lane,IEEE Robotics and Automation Letters,10.1109/lra.2019.2927956,https://doi.org/10.1109/lra.2019.2927956,25,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,semantic categories can be mapped to robot-specific capabilities without recalibration,material parameters,same-named object with opposite affordance,makes feasibility checking inside task-and-motion planning non-novel,operational tests that define the predicate before task execution,crossref:robot physical reasoning manipulation planning,,
390,landscape,Neural network-enhanced optimal motion planning for robot manipulation under remote center of motion,2022,Hang Su; Chenguang Yang,"Tactile Sensing, Skill Learning, and Robotic Dexterous Manipulation",10.1016/b978-0-32-390445-2.00022-2,https://doi.org/10.1016/b978-0-32-390445-2.00022-2,0,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,the robot does not need to spend action budget on diagnostic tests,the set of available diagnostic actions,sensor probe is noisy or unavailable,makes feasibility checking inside task-and-motion planning non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
391,landscape,Affordance Based Disambiguation and Validation in Human-Robot Dialogue,2020,Kim Wölfel; Dominik Henrich,"Annals of Scientific Society for Assembly, Handling and Industrial Robotics",10.1007/978-3-662-61755-7_28,https://doi.org/10.1007/978-3-662-61755-7_28,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,training labels encode the same affordance boundary needed at deployment,cost of unsafe false positives,task demand outside the training range,makes generic affordance prediction and action-effect learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
392,landscape,DeepClaw 2.0: A Data Collection Platform for Learning Human Manipulation,2022,Haokun Wang; Xiaobo Liu; Nuofan Qiu; Ning Guo; Fang Wan; Chaoyang Song,Frontiers in Robotics and AI,10.3389/frobt.2022.787291,https://doi.org/10.3389/frobt.2022.787291,0,manipulation skill learning,make robot manipulation robust to object and scene variation,interactive contact probe and sensor classifier,"skill preconditions are stable across materials, wear, and hidden state",the mapping from words to object instances,novel object whose visible geometry is misleading,makes skill-conditioned manipulation policies non-novel,cost-aware selection among micro-experiments,crossref:robot affordance learning manipulation,"Besides direct interaction, human hands are also skilled at using tools to manipulate objects for typical life and work tasks. This paper proposes DeepClaw 2.0 as a low-cost, open-sourced data collection platform for learning human manipulation. We use an RGB-D camera to visually track the motion and deformation of a pair of soft finger networks on a modified kitchen tong operated by human teachers. These fingers can be easily integrated with robotic grippers to bridge the structural mismatch between humans and robots during learning. The deformation of soft finger networks, which reveals tactile information in contact-rich manipulation, is captured passively. We collected a comprehensive sample dataset involving five human demonstrators in ten manipulation tasks with five trials per task. As a low-cost, open-sourced platform, we also developed an intuitive interface that converts the raw sensor data into state-action data for imitation learning problems. For learning-by-demonstration problems, we further demonstrated our dataset’s potential by using real robotic hardware to collect joint actuation data or using a simulated environment when limited access to the hardware.",
393,landscape,"Bio-inspired cognitive robotics vs. embodied AI for socially acceptable, civilized robots",2026,Pietro Morasso,Frontiers in Robotics and AI,10.3389/frobt.2026.1714310,https://doi.org/10.3389/frobt.2026.1714310,0,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",semantic categories can be mapped to robot-specific capabilities without recalibration,material parameters,novel object whose visible geometry is misleading,makes broad embodied AI benchmarking or representation learning non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,"Although cognitive robotics is still a work in progress, the trend is to “free” robots from the assembly lines of the third industrial revolution and allow them to “enter human society” in large numbers and many forms, as forecasted by Industry 4.0 and beyond. Cognitive robots are expected to be intelligent, designed to learn from experience and adapt to real-world situations rather than being preprogrammed with specific actions for all possible stimuli and environmental conditions. Moreover, such robots are supposed to interact closely with human partners, cooperating with them, and this implies that robot cognition must incorporate, in a deep sense, ethical principles and evolve, in conflict situations, decision-making capabilities that can be perceived as wise. Intelligence (true vs. false), ethics (right vs. wrong), and wisdom (good vs. bad) are interrelated but independent features of human behavior, and a similar framework should also characterize the behavior of cognitive agents integrated in human society. The working hypothesis formulated in this paper is that the propensity to consolidate ethically guided behavior, possibly evolving to some kind of wisdom, is a cognitive architecture based on bio-inspired embodied cognition, educated through development and social interaction. In contrast, the problem with current AI foundation models applied to robotics (EAI) is that, although they can be super-intelligent, they are intrinsically disembodied and ethically agnostic, independent of how much information was absorbed during training. We suggest that the proposed alternative may facilitate social acceptance and thus make such robots civilized .",
394,landscape,Robots with a Sense of Self: Exploring Embodied Intelligence,2026,Rajendra Akerkar,Artificial Intelligence,10.1007/978-3-031-91084-5_11,https://doi.org/10.1007/978-3-031-91084-5_11,0,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,the mapping from words to object instances,task demand outside the training range,makes broad embodied AI benchmarking or representation learning non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
395,landscape,Learning Robust Policies for Object Manipulation with Robot Swarms,2018,Gregor H.W. Gebhardt; Kevin Daun; Marius Schnaubelt; Gerhard Neumann,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8463215,https://doi.org/10.1109/icra.2018.8463215,11,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,material parameters,rare material state dominates success but is not represented in labels,makes skill-conditioned manipulation policies non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
396,landscape,Planning Framework for Robotic Pizza Dough Stretching with a Rolling Pin,2022,Jung-Tae Kim; Fabio Ruggiero; Vincenzo Lippiello; Bruno Siciliano,Springer Tracts in Advanced Robotics,10.1007/978-3-030-93290-9_9,https://doi.org/10.1007/978-3-030-93290-9_9,6,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,failure costs are low enough to learn from direct task execution,"object damage such as holes, cracks, dull edges, and blocked openings",rare material state dominates success but is not represented in labels,makes feasibility checking inside task-and-motion planning non-novel,cost-aware selection among micro-experiments,crossref:robot physical reasoning manipulation planning,,
397,landscape,Deep Reinforcement Learning-Based Semi-Autonomous Control for Magnetic Micro-Robot Navigation with Immersive Manipulation,2025,Yudong Mao; Dandan Zhang,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11128848,https://doi.org/10.1109/icra55743.2025.11128848,1,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",semantic categories can be mapped to robot-specific capabilities without recalibration,distribution of counterfeit or unusual objects,planner accepts a semantically plausible but physically impossible step,makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
398,landscape,Human2bot: learning zero-shot reward functions for robotic manipulation from human demonstrations,2025,Yasir Salam; Yinbei Li; Jonas Herzog; Jiaqiang Yang,Autonomous Robots,10.1007/s10514-025-10193-9,https://doi.org/10.1007/s10514-025-10193-9,1,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,the set of available diagnostic actions,sensor probe is noisy or unavailable,makes skill-conditioned manipulation policies non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
399,landscape,Reinforcement learning for robot manipulation tasks in human-robot collaboration using the CQL/SAC algorithms,2025,A. Husakovic; L. Banjanović-Mehmedovic; A. Gurdić-Ribic; N. Prljaca; I. Karabegovic,Advances in Production Engineering &amp; Management,10.14743/apem2025.1.523,https://doi.org/10.14743/apem2025.1.523,1,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,"load, volume, temperature, and other task demands",sensor probe is noisy or unavailable,makes skill-conditioned manipulation policies non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,"The integration of human-robot collaboration (HRC) into industrial and service environments demands efficient and adaptive robotic systems capable of executing diverse tasks, including pick-and-place operations. This paper investigates the application of Soft Actor-Critic (SAC) and Conservative Q-Learning (CQL)—two deep reinforcement learning (DRL) algorithms—for the learning and optimization of pick-and-place actions within HRC scenarios. By leveraging SAC’s capability to balance exploration and exploitation, the robot autonomously learns to perform pick-and-place tasks while adapting to dynamic environments and human interactions. Moreover, the integration of CQL ensures more stable learning by mitigating Q-value overestimation, which proves particularly advantageous in offline and suboptimal data scenarios. The combined use of CQL and SAC enhances policy robustness, facilitating safer and more efficient decision-making in continually evolving environments. The proposed framework combines simulation-based training with transfer learning techniques, enabling seamless deployment in real-world environments. The critical challenge of trajectory completion is addressed through a meticulously designed reward function that promotes efficiency, precision, and safety. Experimental validation demonstrates a 100 % success rate in simulation and an 80 % success rate on real hardware, confirming the practical viability of the proposed model. This work underscores the pivotal role of DRL in enhancing the functionality of collaborative robotic systems, illustrating its applicability across a range of industrial environments.",
400,landscape,Reinforcement Learning for Multi-Task Manipulation in Robotic Arm Systems Operating in Dynamic Environments,2025,Murad Bashabsheh,Journal of Robotics and Control (JRC),10.18196/jrc.v6i5.27780,https://doi.org/10.18196/jrc.v6i5.27780,1,physical world models,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,cost of unsafe false positives,rare material state dominates success but is not represented in labels,makes predictive physical simulation or learned dynamics non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,"The development of integrating Reinforcement Learning (RL) in robots seems to provide solutions to a variety of complex manipulation tasks in uncertain dynamic environments. The limitation of the research is that the given research permits a robotic arm to learn and perform several manipulation tasks in an autonomously-observed manner, using a model-free RL approach. The key improvement of the current work is an ability to train an agent to perform various actions in a shared space that is needed to perform very different manipulation actions. The method is implemented with the help of a three-dimensional simulator that is done by using a robotic arm, items in the workspace (table, objects), and the time-varying location of targets. The robotic system undergoes training in six different manipulation actions including Reach, Push, Slide, Pick and Place, Stack and Flip. With reward shaping based on the tasks, RL architecture learns to execute each task effectively in working with the environment. The success rates in each of the manipulation tasks during experiment time have demonstrated successful completion of the tasks as opposed to before training, displaying their adaptability and accuracy. Also, this framework has generalization ability as it changes its object positions and the dynamics used. These results help justify the possibility of reinforcement learning as a tool to train robots on flexible, goal directed manipulation tasks and so avoid manual programming. Future work may extend this approach to real-world robotic platforms with sensory feedback integration.",
401,landscape,Hierarchical Visual Policy Learning for Long-Horizon Robot Manipulation in Densely Cluttered Scenes,2025,Hecheng Wang; Lizhe Qi; Ziheng Wang; Jiankun Ren; Wei Li; Yunquan Sun,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11128752,https://doi.org/10.1109/icra55743.2025.11128752,1,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,material parameters,planner accepts a semantically plausible but physically impossible step,makes skill-conditioned manipulation policies non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
402,landscape,COBRA-PPM: A Causal Bayesian Reasoning Architecture Using Probabilistic Programming for Robot Manipulation Under Uncertainty,2025,Ricardo Cannizzaro; Michael Groom; Jonathan Routley; Robert Ness; Lars Kunze,2025 European Conference on Mobile Robots (ECMR),10.1109/ecmr65884.2025.11163313,https://doi.org/10.1109/ecmr65884.2025.11163313,1,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,sensor noise and latency,task demand outside the training range,makes skill-conditioned manipulation policies non-novel,cost-aware selection among micro-experiments,crossref:robot physical reasoning manipulation planning,,
403,landscape,Designing a Self-Stabilizing Robot for Dynamic Mobile Manipulation,2006,Patrick Deegan; Bryan J. Thibodeau; Roderic Grupen,,10.21236/ada459932,https://doi.org/10.21236/ada459932,23,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,embodiment and end-effector geometry,same-named object with opposite affordance,makes skill-conditioned manipulation policies non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
404,landscape,"Planning, Learning and Reasoning Framework for Robot Truck Unloading",2020,Fahad Islam; Anirudh Vemula; Sung-Kyun Kim; Andrew Dornbush; Oren Salzman; Maxim Likhachev,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9196604,https://doi.org/10.1109/icra40945.2020.9196604,10,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,visual appearance exposes the variables needed for safe action,sensor noise and latency,rare material state dominates success but is not represented in labels,makes feasibility checking inside task-and-motion planning non-novel,formal error bounds under label-preserving affordance flips,crossref:robot physical reasoning manipulation planning,,
405,landscape,Robot learning by Single Shot Imitation for Manipulation Tasks,2022,Mohit Vohra; Laxmidhar Behera,2022 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn55064.2022.9892529,https://doi.org/10.1109/ijcnn55064.2022.9892529,3,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,"load, volume, temperature, and other task demands","false positive that causes spill, drop, breakage, or collision",makes skill-conditioned manipulation policies non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
406,landscape,Robot Dynamic Manipulation,2022,,Springer Tracts in Advanced Robotics,10.1007/978-3-030-93290-9,https://doi.org/10.1007/978-3-030-93290-9,3,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,the set of available diagnostic actions,planner accepts a semantically plausible but physically impossible step,makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
407,landscape,Manipulation planning for the Atlas humanoid robot,2014,Cong Du; Kit-Hang Lee; Wyatt Newman,2014 IEEE International Conference on Robotics and Biomimetics (ROBIO 2014),10.1109/robio.2014.7090482,https://doi.org/10.1109/robio.2014.7090482,4,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,a static dataset contains the relevant rare counterexamples,material parameters,sensor probe is noisy or unavailable,makes feasibility checking inside task-and-motion planning non-novel,operational tests that define the predicate before task execution,crossref:robot physical reasoning manipulation planning,,
408,landscape,Symbolic Manipulation Planning With Discovered Object and Relational Predicates,2025,Alper Ahmetoglu; Erhan Oztop; Emre Ugur,IEEE Robotics and Automation Letters,10.1109/lra.2025.3527338,https://doi.org/10.1109/lra.2025.3527338,4,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,object names remain correlated with their physical affordances,the mapping from words to object instances,same-named object with opposite affordance,makes feasibility checking inside task-and-motion planning non-novel,formal error bounds under label-preserving affordance flips,crossref:robot physical reasoning manipulation planning,,
409,landscape,Uncertainty in Bayesian Reinforcement Learning for Robot Manipulation Tasks with Sparse Rewards,2023,Li Zheng; Yanghong Li; Yahao Wang; Guangrui Bai; Haiyang He; Erbao Dong,2023 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/robio58561.2023.10354785,https://doi.org/10.1109/robio58561.2023.10354785,2,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,the set of available diagnostic actions,sensor probe is noisy or unavailable,makes skill-conditioned manipulation policies non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
410,landscape,Multimodal Trip Hazard Affordance Detection on Construction Sites,2018,Sean McMahon; Niko Sunderhauf; Ben Upcroft; Michael Milford,IEEE Robotics and Automation Letters,10.1109/lra.2017.2719763,https://doi.org/10.1109/lra.2017.2719763,16,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,friction and contact conditions,same-named object with opposite affordance,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
411,landscape,Tethered Tool Manipulation Planning With Cable Maneuvering,2020,Daniel Sanchez; Weiwei Wan; Kensuke Harada,IEEE Robotics and Automation Letters,10.1109/lra.2020.2974675,https://doi.org/10.1109/lra.2020.2974675,16,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,failure costs are low enough to learn from direct task execution,material parameters,rare material state dominates success but is not represented in labels,makes feasibility checking inside task-and-motion planning non-novel,cost-aware selection among micro-experiments,crossref:robot physical reasoning manipulation planning,,
412,landscape,Deformable Object Manipulation With Constraints Using Path Set Planning and Tracking,2023,Jing Huang; Xiangyu Chu; Xin Ma; Kwok Wai Samuel Au,IEEE Transactions on Robotics,10.1109/tro.2023.3306618,https://doi.org/10.1109/tro.2023.3306618,7,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,a plan-level success score is enough to expose local physical impossibility,the set of available diagnostic actions,novel object whose visible geometry is misleading,makes feasibility checking inside task-and-motion planning non-novel,auditable failure certificates for rejected actions,crossref:robot physical reasoning manipulation planning,,
413,landscape,Towards Generalized Manipulation Learning Through Grasp Mechanics-Based Features and Self-Supervision,2021,Andrew S. Morgan; Walter G. Bircher; Aaron M. Dollar,IEEE Transactions on Robotics,10.1109/tro.2021.3057802,https://doi.org/10.1109/tro.2021.3057802,12,manipulation skill learning,make robot manipulation robust to object and scene variation,grasp-quality model trained from trials,a plan-level success score is enough to expose local physical impossibility,"object damage such as holes, cracks, dull edges, and blocked openings",task demand outside the training range,makes skill-conditioned manipulation policies non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
414,landscape,Deep Visual Constraints: Neural Implicit Models for Manipulation Planning From Visual Input,2022,Jung-Su Ha; Danny Driess; Marc Toussaint,IEEE Robotics and Automation Letters,10.1109/lra.2022.3194955,https://doi.org/10.1109/lra.2022.3194955,9,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,training labels encode the same affordance boundary needed at deployment,the set of available diagnostic actions,task demand outside the training range,makes feasibility checking inside task-and-motion planning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot physical reasoning manipulation planning,,
415,landscape,Optimal shape and motion planning for dynamic planar manipulation,2019,Orion Taylor; Alberto Rodriguez,Autonomous Robots,10.1007/s10514-018-9773-y,https://doi.org/10.1007/s10514-018-9773-y,20,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,training labels encode the same affordance boundary needed at deployment,cost of unsafe false positives,novel object whose visible geometry is misleading,makes feasibility checking inside task-and-motion planning non-novel,formal error bounds under label-preserving affordance flips,crossref:robot physical reasoning manipulation planning,,
416,landscape,Learning Kinematic Feasibility for Mobile Manipulation Through Deep Reinforcement Learning,2021,Daniel Honerkamp; Tim Welschehold; Abhinav Valada,IEEE Robotics and Automation Letters,10.1109/lra.2021.3092685,https://doi.org/10.1109/lra.2021.3092685,54,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,embodiment and end-effector geometry,diagnostic action changes the object state or consumes scarce resources,makes skill-conditioned manipulation policies non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
417,landscape,Embodied AI: Bridging Simulation and Reality in Robotics,2025,Peng Xu,"2025 4th International Symposium on Robotics, Artificial Intelligence and Information Engineering (RAIIE)",10.1109/raiie65740.2025.11140070,https://doi.org/10.1109/raiie65740.2025.11140070,0,supporting embodied AI,transfer embodied behavior across simulated and real worlds,"learned representation, dataset, or planner for embodied decision making",semantic categories can be mapped to robot-specific capabilities without recalibration,the mapping from words to object instances,task demand outside the training range,makes broad embodied AI benchmarking or representation learning non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
418,landscape,Trajectory Planning of Large Subassemblies Mergence with a Multi-Robot Coordinated Manipulation System,2010,Zhao-cai Du; Zou Fang,SAE Technical Paper Series,10.4271/2010-01-1856,https://doi.org/10.4271/2010-01-1856,0,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,"skill preconditions are stable across materials, wear, and hidden state",the set of available diagnostic actions,task demand outside the training range,makes feasibility checking inside task-and-motion planning non-novel,auditable failure certificates for rejected actions,crossref:robot physical reasoning manipulation planning,"&lt;div class=""section abstract""&gt;&lt;div class=""htmlview paragraph""&gt;Based on the characteristics of huge and heavy aircraft blocks merging technology, the application of multi-robot coordination in a merging system for posture alignment is studied. Focusing on the fundamental theories and key technologies of multi-robot coordination system, the system architecture of multiple 3-DOF mobile robots, organization and posture coordinated manipulation method are proposed. By virtue of the blocks merging technology, the blocks' kinematic model is expressed as a body moving with limited linear displacement and rotating with small angular displacement. The coordinates transformation between basic block, merging block and single robot is achieved on the basis of large subassembly merging technology. The trajectory planning method of posture aligning by means of Denavit-Hartenberg method is presented. The proposed method incorporates the behavior of robots and experiences of aircraft blocks mergence into multi-robot coordination. Particular focus on the task complexity, the trajectory of robot joints is also presented after the establishment of relationship among the coordinate system of basis block, merging block and single robot. Measuring data are used to determine the posture of aircraft blocks and guide the process. The object-oriented control algorithm for cooperative multi-robot is derived. The algorithm accommodates various motion types, and controls the blocks motion as well as the result force and endogenous force at the same time. By using the redundancy of multi-robot coordination system and including the constraints of payload, driving force and driving velocity, the trajectory planning strategy of robots combining the endogenous force avoidance with the less energy consumption is achieved. Building a full physical experimental system composed of four 3-DOF mobile robots, a number of key technologies have been developed and integrated, such as trajectory planning, control and coordination strategies.&lt;/div&gt;&lt;/div&gt;",
419,landscape,LEAGUE: Guided Skill Learning and Abstraction for Long-Horizon Manipulation,2023,Shuo Cheng; Danfei Xu,IEEE Robotics and Automation Letters,10.1109/lra.2023.3308061,https://doi.org/10.1109/lra.2023.3308061,31,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",training labels encode the same affordance boundary needed at deployment,the set of available diagnostic actions,"false positive that causes spill, drop, breakage, or collision",makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
420,landscape,A kernel-based approach to learning contact distributions for robot manipulation tasks,2018,Oliver Kroemer; Simon Leischnig; Stefan Luettgen; Jan Peters,Autonomous Robots,10.1007/s10514-017-9651-z,https://doi.org/10.1007/s10514-017-9651-z,8,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,the mapping from words to object instances,novel object whose visible geometry is misleading,makes skill-conditioned manipulation policies non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
421,landscape,Evolutionary Search of Optimal Hyperparameters for Learning Various Robot Manipulation Tasks,2024,Archit Sharma; Sandeep Gupta; Peeyush Thakur; Narendra Dhar; Laxmidhar Behera,2024 IEEE Congress on Evolutionary Computation (CEC),10.1109/cec60901.2024.10611887,https://doi.org/10.1109/cec60901.2024.10611887,1,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",training labels encode the same affordance boundary needed at deployment,friction and contact conditions,"false positive that causes spill, drop, breakage, or collision",makes skill-conditioned manipulation policies non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
422,landscape,Neural ODE-based Imitation Learning (NODE-IL): Data-Efficient Imitation Learning for Long-Horizon Multi-Skill Robot Manipulation,2024,Shiyao Zhao; Yucheng Xu; Mohammadreza Kasaei; Mohsen Khadem; Zhibin Li,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10802736,https://doi.org/10.1109/iros58592.2024.10802736,1,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,friction and contact conditions,diagnostic action changes the object state or consumes scarce resources,makes skill-conditioned manipulation policies non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
